10;14
15;10
16;9
10;14
9;16
15;10
8;17
15;9
7;16
14;11
7;18
11;13
14;11
12;13
13;11
13;12
8;17
14;11
7;16
15;10
16;9
10;15
16;9
7;18
9;14
13;12
17;8
8;17
11;14
10;14
17;6
12;13
13;11
10;15
15;10
16;9
12;12
14;11
13;12
10;15
11;14
14;10
10;15
11;13
17;8
10;15
15;9
14;10
8;17
13;12
8;14
15;8
15;8
15;8
15;8
15;8
18;7
10;15
10;15
10;15
10;15
15;9
14;10
12;13
5;20
13;12
14;11
8;17
9;15
9;16
8;16
5;20
9;16
13;12
15;9
11;13
10;15
9;16
16;9
10;14
14;11
12;13
12;12
12;12
12;12
12;12
11;14
12;13
9;16
5;20
9;16
10;14
12;13
15;9
13;12
